thread_id,timestamp,user_query,response
1,06:06:52,hi,"
Hello! How can I help you today? I have access to several tools that can help you search through exam manuals, student handbooks, university by-laws, and Faculty of Engineering information at the University of Ruhuna. What would you like to know?"
1,06:13:26,How GPA calculate?,"
Based on the student handbook, here's how GPA is calculated:

## GPA Calculation Formula

The GPA is calculated using the following formula:

**GPA = Σ(Ci × GPVi) / Σ(Ci)**

Where:
- **Ci** = Number of credits allocated to the ith module
- **GPVi** = Grade Point value earned for the ith module
- **n** = Number of modules with earned GPA

## Grade Point Values (GPV)

| Marks Range | Grade | Grade Point Value |
|-------------|-------|-------------------|
| 85-100 | A+ | 4.0 |
| 75-84 | A | 4.0 |
| 70-74 | A- | 3.7 |
| 65-69 | B+ | 3.3 |
| 60-64 | B | 3.0 |
| 55-59 | B- | 2.7 |
| 50-54 | C+ | 2.3 |
| 45-49 | C | 2.0 |
| 40-44 | C- | 1.7 |
| 0-39 | E | 0.0 |

## Important Notes:

1. **Weighting System**: 
   - 0.05 weight for 1st module in semesters 1,2
   - 0.15 weight for 1st module in semesters 3,4,5,6,7,8

2. **Excluded Grades**: MC (Academic Concession for medical reasons), AC (Academic Concession other reasons), and WH (Results Withheld) are **not included** in GPA calculation.

3. **Optimization**: If you complete more Technical Elective (TE) and General Elective (GE) modules than required, the system will select the best ones to maximize your GPA.

4. **Rounding**: The final GPA is rounded up to the nearest second decimal place.

5. **Pass Requirement**: Grade C or above is normally required to pass a module. Grade C- is a conditional pass and only counts if you achieve a SGPA of 2.00 or above with no more than three grades at C- or below in that semester."
1,09:58:25,How GPA calculate?,"
Based on the student handbook, GPA is calculated using a weighted formula that takes into account both the credits and the semester weights of your modules. Here's how it works:

## GPA Calculation Formula

The GPA is calculated using the following formula:

**GPA = Σ(Ci × Wi × GPVi) / Σ(Ci × Wi)**

Where:
- **Ci** = Number of credits allocated to the ith module
- **Wi** = Weight factor for the semester:
  - **0.05** for modules in semesters 1 and 2
  - **0.15** for modules in semesters 3, 4, 5, 6, 7, and 8
- **GPVi** = Grade Point value earned for the ith module

## Grade Point Scale

Here's the relationship between marks and grade points:

| Marks Range | Grade | Grade Point Value (GPV) |
|-------------|-------|-------------------------|
| 85 - 100    | A+    | 4.0                     |
| 75 - 84     | A     | 4.0                     |
| 70 - 74     | A-    | 3.7                     |
| 65 - 69     | B+    | 3.3                     |
| 60 - 64     | B     | 3.0                     |
| 55 - 59     | B-    | 2.7                     |
| 50 - 54     | C+    | 2.3                     |
| 45 - 49     | C     | 2.0                     |
| 40 - 44     | C-    | 1.7                     |
| 0 - 39      | E     | 0.0                     |

## Important Notes

1. **CGPA vs GPA**: 
   - CGPA (Cumulative GPA) is calculated during your studies using Equation 12.2
   - GPA is calculated at the end of your degree program using Equation 12.3

2. **Excluded Grades**: MC (Academic Concession for medical reasons), AC (Academic Concession other reasons), and WH (Results Withheld) are not included in GPA calculation.

3. **Elective Modules**: If you complete more Technical Elective or General Elective modules than required, the excessive modules are removed to maximize your GPA.

4. **Rounding**: The final GPA is rounded up to the nearest second decimal place.

5. **Conditional Pass**: Grade C- is a conditional pass and has special rules for credit earning.

The weighting system gives more importance to modules in later semesters (3-8) compared to the first two semesters."
1,10:02:59,what are the exam rules in exam manual?,"
Based on the exam manual, here are the key exam rules and regulations:

## General Rules for Examiners

**17.10.1 General Rules for Examiners:**
- Treat all candidates with dignity and respect
- Ensure each candidate is treated equitably and fairly
- Judge candidates based on performance without being influenced by extraneous factors
- Assess candidates following prevailing regulations and accepted guidelines
- Be present through the entire duration of the examination
- Be devoid of conflicts of interest and adhere to examination rules and principles of natural justice

**17.10.2 Specific Rules for Examiners:**
- Disclose any possible conflicts of interest (e.g., immediate family, relations) at the time of being appointed as an examiner

## Student Examination Rules

**18.10 Examination Rules:**
- All candidates shall wear the tag with their registration number
- For practical and viva-voce examinations, candidates shall wear the dress code as recommended by the relevant department

**Dress Code Requirements:**
- All candidates shall wear an overcoat for clinical components of examination
- Female candidates shall wear a saree or other professionally acceptable dress
- Male candidates shall wear trousers with any color, a light color plain shirt with a tie and shoes

## Examination Offences and Penalties

**21.1 Examination Offences:**
The following are considered examination offences:
1. Possession of unauthorized materials
2. Removal of examination material or keeping them
3. Copying or attempt to copy
4. Plagiarism
5. Cheating
6. Disorderly conduct
7. Impersonation
8. Any other examination irregularity determined by the Senate
9. Irregularities reported by marking examiners and approved by the Senate
10. Forging signatures of any official of the university or outsiders related to the examination process and alteration of official documents

**Reporting Procedures:**
- Any examiner, Head of Department, Dean, or other official who detects an examination offence shall immediately report it in writing to the Registrar
- Within a week of receipt, the Registrar shall place all reports before the Vice-Chancellor who shall decide whether to refer them to the Examination Disciplinary Committee

## Practical Examination Rules

**18.10.2 Specific Rules for Laboratory Examinations:**
- Arrive at the examination room/laboratory before commencement to allow sufficient time to organize
- Ensure all practical aspects are well addressed while organizing the laboratory
- Provide all necessary equipment, chemicals, samples, procedures, standard curves, request forms, graph papers etc.
- Common stations can be prepared with reagents, instruments, consumables etc. to be shared
- After arranging, each examiner should check their stations with pre-prepared checklists
- If a checklist is to be assessed by more than one examiner, they should discuss and agree on the marking system prior to the examination

## Prohibited Conduct for Examiners

**17.10.4 Conduct of Examiners to Avoid Harassment:**
Examiners shall not:
- Make remarks of racial, religious, or sensitive nature or personal remarks
- Belittle or ridicule candidates or cause embarrassment
- Impose personal values, opinions, and beliefs on candidates
- Educate candidates during the examination
- Make unnecessary interruptions to presentations/discussions
- Discriminate, pre-judge, or compare unfairly between candidates
- Allow conflicts of interest to interfere with fair assessment
- Discuss questions or care of patients with candidates before releasing results
- Examine candidates with whom they have had difficulties in the past
- Associate or socialize with candidates in any way immediately before, during, or after the examination

These rules ensure fair, transparent, and professional conduct during examinations while maintaining academic integrity and student welfare."
1,10:05:34,Under which section of the Universities Act was this by-law made?,"
Based on the search results, this by-law (Bachelor of the Science of Engineering Honours By-law No. 42-2024) was made under **Section 135 of the Universities Act No. 16 of 1978, and amendments thereof**.

The document clearly states:

""By-law made by the Council of the University of Ruhuna on …… under Section 135 of the Universities Act. No. 16 of 1978, and amendments thereof.""

This section (Section 135) appears to be the specific provision under the Universities Act that authorizes the Council to make by-laws for the regulation of degree programs and student admission requirements at the University of Ruhuna."
1,10:09:45,what are the procument guidlines include?,"
Based on the procurement guidelines, here are the key components that they include:

## **Scope and Application**
- Applicable for procurement of **Goods and Works** only
- Supersede all previous guidelines, circulars, and financial regulations on procurement (except for disposal of inventory items and divestiture of public assets)
- Separate guidelines exist for Selection and Engagement of Consultants, and Health Sector Goods

## **Bidding Document Requirements**
The guidelines specify essential contents for bidding documents, which must include:
- **Invitation to Bid**
- **Instruction to Bidders** 
- **Bidding Data**
- **Conditions of Contract**
- **Contract Data/Special conditions**

These documents must clearly define:
- Scope of works, goods, or services to be supplied
- Rights and obligations of both parties
- Conditions for valid and responsive bids
- Fair and non-discriminatory selection criteria

## **Procurement Methods**
The guidelines cover various procurement approaches including:
- **Schedule of Rates Contracts** - Used when quantities are unknown
- **Direct Contracting** - Single source procurement for:
  - Existing contract extensions for similar goods/works
  - Standardized equipment compatible with existing systems
  - Proprietary equipment obtainable only from one source

## **Emergency Procurement**
Special provisions for emergency rehabilitation and reconstruction operations due to disasters, with specific procurement methods applicable in such situations.

## **Approval Procedures**
- Normal procedures must be followed under normal circumstances
- NPA approval required for any deviations from described procedures
- Requests must be made at least three weeks in advance
- NPA may advise obtaining additional approvals from authorities like Cabinet of Ministers, CAPC, or MPC

## **Planning and Documentation**
- Detailed procurement plan formats for systematic planning
- Comprehensive documentation requirements throughout the procurement process

The guidelines provide a comprehensive framework for transparent, fair, and efficient procurement processes while allowing flexibility for emergency situations and special circumstances."
1,10:17:52,what are the imformation in estabish code?,"
Based on the Establishment Code search results, here's what information is included in the Establishment Code:

## **Establishment Code Overview**

The Establishment Code is divided into **two volumes** and contains comprehensive information on government administration and public service regulations.

## **Volume I - General Provisions**
- **Adherence to Regulations**: All Public Officers must adhere to the Establishments Code, Financial Regulations, and amendments made to them from time to time
- **Circulars and Instructions**: Compliance with Public Administration and Treasury Circulars, as well as Circulars, Regulations, Standing Orders, Procedures, Orders, and instructions issued by Secretaries to Ministries, Heads of Departments, and other appropriate authorities
- **Publication Rules**: 
  - Permission requirements for publishing books and articles
  - Rules for publishing articles on administrative matters vs. other subjects
  - Requirements for consulting official records
- **Mass Media Organizations**: Provisions for holding office in mass media organizations

## **Volume II - Disciplinary Control**
- **Scope**: Deals with disciplinary control of all public officers except those specifically excluded (Constitutional Articles 41, 51, 52, 54 and 114(6), and members of Army, Navy, and Air Force)
- **Legal Authority**: Approved by the Cabinet of Ministers under Article 55(4) of the Constitution
- **Disciplinary Procedures**:
  - Charge sheet procedures and response requirements
  - Formal disciplinary inquiry processes
  - Appointment of Inquiry Officers
  - Procedures for retaining legal representation
  - Time limits for responses and consequences of non-compliance
- **Implementation**: Replaced previous version and came into force from November 1, 1999

## **Key Features**
- **Comprehensive Coverage**: Covers both general administrative rules and specific disciplinary procedures
- **Legal Framework**: Operates under constitutional authority and Cabinet approval
- **Practical Procedures**: Includes detailed step-by-step processes for disciplinary actions
- **Interpretation Guidelines**: Provides guidance on resolving doubts and difficulties in interpretation
- **Reporting Mechanism**: Directs unresolved issues to the Director of Establishments

The Establishment Code serves as the primary regulatory framework for public service administration, ensuring consistency, accountability, and proper disciplinary procedures across government institutions."
1,12:48:00,What is the process to appoint a director to an institute according to ugc circulars?,"
Based on the UGC circulars, here is the process for appointing a director to an institute:

## Appointment Process for Director of an Institute

### 1. **Advertisement of Vacancy**
- Applications/nominations for the Post of Director are invited by the Deputy Registrar/Senior Assistant Registrar/Assistant Registrar (who serves as Secretary to the Board of Management)
- Notice is published in national newspapers in all three languages

### 2. **Search Committee Formation**
The Board of Management appoints a Search Committee comprising:
- **Three (03) Senior Academics** in the rank of Professor/Senior Professor
- **Composition:**
  - (a) A Dean of the University to which the Institute is affiliated (serves as Chair)
  - (b) Two Members nominated by the Board of Management (who are not members of the Board)

### 3. **Application Requirements**
Prospective applicants must submit:
- A **Statement of Vision** for the development of the Institute
- A **brief account** of what they propose to achieve if appointed as Director
- A **full Curriculum Vitae** including the date of birth
- All documents in **PDF format** submitted to the email address specified in the advertisement

### 4. **Selection and Recommendation**
- The Search Committee searches for and encourages eminent persons to apply
- The Board of Management sends a **panel of three (03) names** listed in order of merit to:
  - **The Council** to which the Institute is attached, OR
  - **The UGC** if subsequent Directors are to be appointed by UGC based on Board nominations

### 5. **Final Appointment**
- The Appointing Authority considers the recommendations and the report of the observer
- The Authority makes the final appointment of the Director

### 6. **Timeline**
- Appointment should be made within the period directed by the University Grants Commission
- This applies when a vacancy is created by resignation, removal, or any other circumstance

This process is outlined in UGC Commission Circular No. 10/2022 and supersedes previous procedures, with amendments to clarify requirements for detailed mark sheets and include provisions for virtual participation in Board meetings."
1,14:58:26,Under which section of the Universities Act was this by-law made?,"
I need more information to answer your question. Could you please specify which by-law you're referring to? There are many by-laws that could be made under different sections of the Universities Act. Please provide the specific by-law or context you're asking about, and I'll help you find the relevant section of the Universities Act under which it was made."
1,15:01:26,Under which section of the Universities Act was this by-law made?,"
I need more information to answer your question. Could you please specify which by-law you're referring to? There are many different by-laws that could have been made under various sections of the Universities Act. Please provide the specific by-law or context you're asking about, and I'll help you find the relevant section of the Universities Act under which it was made."
